,Unnamed: 0,a-beta
135,17010,aeint
136,22145,aek
137,84,aelotropik
138,85,aerasi
139,86,aerial
140,87,aerobik
141,88,aerofiarologi
142,89,aerofisika
143,90,aerofisiologi
144,91,aeropolis
145,92,aerotaksis
146,93,aeroterapi
147,94,aerotonometer
148,95,afantobion
149,96,afasia
150,97,afasiologi
151,23225,afdal
152,16605,afdol
153,98,afektif
154,20335,affairs
155,17193,affordable
156,99,afiks
157,100,afiliator
158,101,aflatoksin
159,102,afluvial
160,103,afototropisme
161,22500,afp
162,16424,afrika
163,104,afro
164,105,afrodisiak
165,18620,aftersales
166,24121,against
167,106,agak
168,14926,agaknya
169,107,agam
170,108,agama
171,109,agamandroesis
172,110,agamani
173,24297,agamis
174,111,agamoginoesis
175,14927,agar
176,22310,agat
177,112,ageman
178,113,agen
179,25234,agency
180,23737,agenda
181,27251,agendanya
182,24861,ageng
183,26901,agensi
184,25616,agent
185,115,aggiornamento
186,17828,agha
187,116,agio
188,117,agirofobia
189,118,agit
190,119,agliofobia
191,120,aglomerasi
192,121,aglutinasi
193,28010,agnes
194,122,agnosterol
195,123,agorafobia
196,124,agraria
197,21704,agreement
198,125,agregat
199,126,agresi
200,127,agresif
201,27801,agribisnis
202,129,agriterorisme
203,15995,agritourism
204,22524,agro
205,130,agrobisnis
206,131,agroekosistem
207,132,agrohidrologi
208,133,agropangan
209,134,agroterorisme
210,22910,agrowisata
211,24608,aguan
212,21736,agunan
213,21761,agung
214,21056,agus
215,24994,agustin
216,21797,agustina
217,17466,agustus
218,19186,agustus[gambas
219,19898,agustusan
220,20187,ah
221,137,ahermatipe
222,138,ahi
223,139,ahin
224,140,ahli
225,141,ahlulkitab
226,142,ahlulkubur
227,23581,ahmad
228,143,ahuh
229,144,ahutu
230,17884,ahy
231,17857,ahzab
232,17191,ai
233,22554,aib
234,145,aibohfobia
235,146,aide-m
236,17815,aiir
237,19809,aik
238,147,aikmofobia
239,25295,aiko
240,148,ailurofili
241,16944,aiman
242,22628,aimon
243,149,ainulbanat
244,150,ainulyakin
245,17631,aipa
246,20906,aipf
247,151,air
248,17166,airbus
249,20058,airlangga
250,28072,airline
251,27827,airlines
252,18708,airnav
253,21561,airnya
254,17825,airport
255,19678,airways
256,152,ais
257,15996,aisle
258,18685,aiur
259,17590,aja
260,27243,ajaib
261,25301,ajak
262,23650,ajakan
263,154,ajal
264,155,ajan
265,156,ajang
266,157,ajar
267,158,ajara
268,25576,ajaran
269,159,ajeng
270,14560,aji
271,161,ajib
272,21202,ajibata
273,162,ajisesirep
274,19679,ajisiwi
275,163,aju-aju
276,19845,ajukan
277,164,ajun
278,17810,akabri
279,165,akad
280,23673,akademi
281,20989,akademik
282,23654,akademika
283,167,akademikus
284,18724,akademisi
285,168,akaid
286,169,akal
287,170,akalnya
288,14561,akan
289,14932,akankah
290,22552,akap
291,171,akar
292,172,akaridofag
293,173,akarosesidium
294,174,akasia
295,22289,akb
296,25779,akbar
297,27029,akbp
298,176,aker
299,177,akhir
300,178,akhirat
301,14934,akhiri
302,14935,akhirnya
303,28168,akhlakul
304,22114,akhmad
305,20922,aki
306,21118,akibat
307,16269,akibatnya
308,179,akik
309,180,akil
310,181,aking
311,23660,aklamasi
312,18167,akmani
313,15998,akomodasi
314,182,akomodatif
315,183,akondroplasia
316,16860,akp
317,26486,akrab
318,25879,akreditasi
319,24922,akresi
320,185,akrilamida
321,186,akrobat
322,187,akroglobin
323,188,akromegali
324,189,akropleurogen
325,190,akropodium
326,191,akrotergit
327,192,aksara
328,193,aksarawati
329,20721,akselerasi
330,195,akselerometer
331,196,aksentuasi
332,197,aksep
333,198,akseptabel
334,199,akseptor
335,200,akses
336,201,aksesibilitas
337,18343,aksesnya
338,26088,aksesoris
339,27285,aksi
340,203,aksial
341,204,aksidental
342,22449,aksinya
343,205,aksiomatis
344,206,akta
345,207,aktif
346,208,akting
347,209,aktinobiologi
348,210,aktinoblas
349,211,aktinodrom
350,212,aktinograf
351,213,aktinomikosis
352,214,aktinomorf
353,215,aktiva
354,26749,aktivasi
355,14563,aktivitas
356,217,aktomiosin
357,22297,aktor
358,20879,aktual
359,219,aktuaris
360,14937,aku
361,220,akuadestilata
362,221,akuakaktin
363,222,akuakultur
364,223,akuan
365,20217,akuatik
366,224,akuatosere
367,14564,akui
368,14939,akulah
369,225,akulturasi
370,226,akumulatif
371,227,akumulator
372,23204,akun
373,229,akuntabilitas
374,230,akuokobalamin
375,231,akupunktur
376,19358,akupuntur
377,20605,akurat
378,232,akustik
379,233,akut
380,24516,al
381,234,al-ab
382,235,al-hijr
383,236,al-qadr
384,17299,ala
385,237,alaestesia
386,238,alai-belai
387,239,alaikum
388,26128,alam
389,241,alamat
390,242,alamatulhayat
391,16813,alamendah
392,243,alami
393,244,alamiah
394,16887,alamnya
395,26888,alamsyah
396,245,alang
397,246,alang-alangan
398,247,alangkitae
399,248,alantoinat
400,23078,alaqsha
401,249,alar
402,250,alari
403,22819,alas
404,22459,alasan
405,19093,alasannya
406,252,alat
407,253,alautogami
408,21964,alaya
409,254,albakora
410,23358,albantani
411,255,albedograf
412,256,albuminimeter
413,257,albuminoid
414,258,albuminometer
415,259,albuminosa
416,260,aldosteron
417,261,aldotriosa
418,262,alegro
419,263,alektorofobia
420,264,alel
421,265,alelokimia
422,266,aleuroplas
423,267,alfa
424,20403,alffy
425,268,alga
426,19415,algoritma
427,269,algoritmis
428,27204,alhamdulillah
429,24245,alhasil
430,271,alhayat
431,20388,alhendawi
432,25646,ali
433,272,alia
434,21291,aliansi
435,26767,alias
436,26629,alif
437,273,alih
438,27505,alihkan
439,274,alim
440,275,alimentasi
441,276,aling-alingan
442,277,alir
443,278,aliran
444,279,alis
445,280,aliumfobia
446,25365,aliya
447,25676,aliyah
448,281,aljabar
449,282,alkali
450,25322,alkes
451,283,alkitabiah
452,284,alkoholometer
453,285,alkoholometri
454,286,alkuronium
455,18767,all
456,20941,allah
457,288,allargando
458,289,allegretto
459,24763,alm
460,20724,almabar
461,290,almanane
462,18024,almarhum
463,291,almarhumah
464,24215,aloha
465,292,alokasi
466,293,alokinesis
467,294,alomerisme
468,295,aloparasit
469,296,alopelagik
470,20902,alot
471,297,alotetraploid
472,298,alpa
473,24581,alparisi
474,17968,alpukat
475,299,alqur'an
476,23486,alrahman
477,300,alternatif
478,28204,alternatifnya
479,301,alternator
480,302,alto
481,303,altruistik
482,304,altruistis
483,26902,alu
484,305,aluakas
485,25611,alumni
486,306,alumpa
487,307,alun
488,26571,alunan
489,308,alur
490,309,aluran
491,310,aluvial
492,311,alveolitis
493,312,amahatua
494,313,amal
495,314,amalgamasi
496,315,amalo
497,19123,aman
498,24651,amanah
499,19780,amanahkan
500,21783,amanat
501,317,amang
502,318,amanra
503,319,amar
504,14943,amat
505,320,amatirisme
506,14944,amatlah
507,321,amato
508,322,amatofobia
509,323,amau
510,20086,amazon
511,324,ambah
512,27164,ambalat
513,325,ambang
514,326,ambar
515,16222,ambarita
516,20478,ambassador
517,327,amber
518,328,ambideksteritas
519,329,ambidekstrus
520,330,ambiguitas
521,331,ambik
522,19276,ambil
523,333,ambilan
524,334,ambin
525,335,ambing
526,22102,ambisi
527,20644,amblas
528,26996,ambles
529,336,ambligonit
530,337,amblikusia
531,338,amblong
532,339,ambon
533,20387,amborawang
534,340,ambretolid
535,20038,ambrosino
536,341,ambuh
537,25638,ambulance
538,20035,ambulans
539,342,ambulatori
540,343,ambung-ambung
541,16412,ambyarnya
542,344,ambyok
543,28090,amed
544,345,ameliorasi
545,346,amendemen
546,347,amer
547,18893,amerika
548,348,amerospora
549,17285,ametung
550,349,amfetamina
551,350,amfiapomik
552,351,amfibiotik
553,352,amfidelfik
554,353,amfikarion
555,354,amfimiksis
556,355,amfiprotik
557,356,amfiteater
558,357,amfitesium
559,358,amfolitoid
560,359,amikofobia
561,360,amil
562,361,amilodekstrin
563,362,amilolisis
564,16464,amin
565,364,amino
566,365,aminoasiduria
567,366,aminofilin
568,26777,amir
569,26648,ammtc
570,367,amnesti
571,368,amnionitis
572,369,amniosentesis
573,370,amodimetikona
574,18733,among
575,372,amonium
576,373,amorf
577,374,amortisasi
578,375,ampai
579,376,ampal-ampalan
580,24499,ampat
581,378,ampeyan
582,24236,ampuh
583,379,amputan
584,380,amril
585,22817,amrytha
586,18480,amuk
587,18783,amy
588,27893,an
589,381,an-nahl
590,382,an-nasr
591,383,anabatik
592,384,anabolik
593,385,anabolisme
594,386,anaforesis
595,387,anak
596,19233,anaknya
597,388,anakoluton
598,389,anal
599,390,analis
600,20065,analisa
601,391,analisis
602,392,analitis
603,393,anam
604,28255,ananda
605,19968,ananto
606,394,anaptiksis
607,395,anarkistis
608,25593,anasti
609,396,ancak
610,20492,ancaman
611,397,ancang-ancang
612,398,ancruk
613,22138,and
614,14946,anda
615,400,andai
616,16437,andal
617,14947,andalah
618,14569,andalan
619,26985,andalkan
620,401,andang-andang
621,402,andap
622,403,andeng-andeng
623,26093,andi
624,23197,andika
625,26357,anditya
626,15999,andong
627,404,andosol
628,22684,andrea
629,27476,andri
630,405,androfilia
631,406,androfobia
632,407,androginus
633,408,andrografolid
634,409,andropause
635,19890,andy
636,20788,aneh
637,19910,aneka
638,411,anemia
639,412,anemofobia
640,413,anemometer
641,414,anemotrofi
642,415,anestesi
643,416,angan
644,21505,angela
645,20064,angeles
646,417,angelika
647,27952,anggap
648,418,anggar
649,419,anggar-anggar
650,420,anggaran
651,23714,anggarannya
652,421,anggel-anggel
653,422,anggerka
654,19004,anggota
655,24435,anggotanya
656,23470,anggraeni
657,21244,anggrek
658,425,anggrekwan
659,21079,anggun
660,426,anggup-anggip
661,27027,anggur
662,428,angin
663,429,angin-anginan
664,430,angioedema
665,431,angiografi
666,432,angit
667,19000,angka
668,434,angkal-angkal
669,27150,angkanya
670,435,angkara
671,26697,angkasa
672,437,angkasawan
673,438,angkat
674,439,angkatan
675,440,angket
676,441,angklek
677,24664,angklung
678,442,angkringan
679,443,angkul-angkul
680,444,angkup-angkup
681,445,angkut
682,446,angkut-angkut
683,20270,angkutan
684,448,anglo
685,449,anglofilia
686,450,anglofobia
687,23921,angriani
688,451,angrofobia
689,452,angsa
690,453,angsel
691,454,angson
692,455,angsur
693,456,angus
694,457,anhidrosis
695,21865,ani
696,19279,anies
697,458,anilina
698,21470,animal
699,27947,animasi
700,22097,animation
701,20612,animator
702,21372,animo
703,22894,animonya
704,22967,animuseum
705,28086,anindya
706,17679,anis
707,460,anisodaktil
708,461,anisogamet
709,462,anisokoria
710,463,anisotropi
711,26410,anita
712,464,anjak
713,465,anjang-anjang
714,466,anjangsana
715,467,anjangsono
716,17921,anjing
717,469,anjing-anjing
718,24985,anjingnya
719,17777,anjlok
720,470,anjung
721,471,anjung-anjung
722,26594,anjungan
723,27623,anjuran
724,21830,anna
725,25280,annisa
726,472,anoftalmus
727,18489,anom
728,473,anomali
729,474,anomik
730,475,anonimitas
731,476,anorganik
732,477,anorgasmia
733,478,anorgasmik
734,479,anorgastik
735,480,anortopsia
736,22799,anrio
737,481,ansiolitik
738,19106,ansy
739,482,antakesuma
740,483,antar
741,484,antara
742,485,antarangkatan
743,17074,antaranya
744,486,antarbenua
745,487,antaretnis
746,488,antarfaksi
747,28244,antargenerasi
748,489,antargolongan
749,490,antariksawati
750,26310,antarkedua
751,491,antarkelompok
752,492,antarkota
753,493,antarktika
754,28250,antarlembaga
755,25731,antarmasyarakat
756,19722,antarnegara
757,494,antarparagraf
758,27267,antarparlemen
759,17087,antarpemain
760,495,antarpemerintah
761,496,antarpulau
762,497,antarruang
763,26191,antarsektor
764,20077,antarseniman
765,24146,antarsuporter
766,498,antartik
767,22686,antarwarga
768,25092,antarwilayah
769,499,antawacana
770,500,ante
771,501,antefleksi
772,502,antemortem
773,503,antena
774,504,anteridium
775,505,anterozoid
776,21997,anthony
777,23942,anti
778,506,antiaglutinin
779,507,antialergi
780,508,antianemia
781,509,antiangina
782,510,antibarion
783,511,antibiosis
784,512,antibiotik
785,513,antidialog
786,514,antidromik
787,515,antiflogistik
788,516,antigenisitas
789,517,antigravitasi
790,518,antihemoragik
791,519,antihistamina
792,520,antihormon
793,521,antiinflamasi
794,522,antikanker
795,523,antikatode
796,524,antikejang
797,525,antiketogenik
798,526,antiklinal
799,527,antiklorin
800,528,antikoagulasi
801,529,antikonvulsan
802,530,antikorona
803,531,antimagnet
804,532,antimateri
805,533,antimetabolit
806,534,antimon
807,535,antimonium
808,536,antimuntah
809,537,anting
810,538,anting-anting
811,539,antipembekuan
812,540,antiperspiran
813,541,antiproton
814,542,antiradang
815,543,antirasuah
816,544,antisemitisme
817,545,antisepsis
818,546,antiseptik
819,547,antisiklon
820,548,antisimpul
821,549,antisionin
822,550,antisipasi
823,551,antiskorbutik
824,552,antisosial
825,553,antispasmodik
826,554,antitoksik
827,555,antitoksin
828,556,antitragus
829,557,antlofobia
830,25964,anton
831,558,antosianin
832,559,antrofobia
833,560,antropolog
834,21169,antropologi
835,561,antropometrik
836,562,antropometris
837,563,antung-antung
838,16456,antusias
839,22602,antusiasme
840,22058,antusiasnya
841,22872,anugerah
842,565,anuitas
843,17627,anung
844,22402,anusapati
845,566,anyam
846,21319,anyaman
847,567,anyang-anyang
848,19711,anyer
849,25562,anyir
850,568,ao
851,569,aorta
852,25116,ap
853,570,apa
854,571,apa-apa
855,14953,apaan
856,23658,apabila
857,22825,apakah
858,24996,apalagi
859,27349,apanya
860,26907,apapun
861,18233,aparat
862,21121,aparatur
863,20633,apartemen
864,14957,apatah
865,26219,apbd
866,21146,apbn
867,25035,apd
868,24961,apec
869,25211,apel
870,14958,api
871,574,api-api
872,27149,apik
873,575,apikoalveolar
874,22341,apill
875,18423,apindo
876,25750,apinya
877,576,apit
878,577,apitan
879,19488,apkasi
880,19492,apki
881,578,apkir
882,17188,apl
883,19552,aplikasi
884,579,apnea
885,580,apoferitin
886,581,apologetis
887,582,apopleksia
888,583,aposematik
889,584,apotheosis
890,25815,app
891,23649,apple
892,18436,applied
893,23531,apply
894,20881,appraisal
895,27015,apresiasi
896,19031,apresiasinya
897,585,apresiatif
898,586,apresiator
899,587,apresorium
900,27928,aprianto
901,22355,april
902,25992,aprilia
903,22305,aprindo
904,20798,aprisindo
905,588,aprit-apritan
906,589,apsidal
907,590,apung
908,591,apus
909,592,aqabah
910,23419,aqif
911,21607,aqil
912,593,aqli
913,25066,aqsha
914,594,aqua
915,24504,aquabike
916,16243,aquatics
917,26481,ara
918,595,arab
919,22163,arah
920,24273,arahan
921,20891,arahkan
922,18516,arak
923,27196,arakan
924,597,arakidat
925,26837,arakkan
926,598,aral
927,599,aramea
928,600,aramrat
929,601,arang
930,602,arapaima
931,603,aras
932,604,arbitrator
933,23464,arcamanik
934,26683,ardana
935,24628,ardanu
936,24676,ardhana
937,605,are
938,606,area
939,24633,areal
940,14959,arek
941,20155,arema
942,24430,aren
943,25965,arena
944,20288,arenas
945,607,ares
946,608,argo
947,609,arheis
948,17745,ari
949,26376,aria
950,27548,ariasandy
951,23206,ariawan
952,25713,arie
953,26218,ariel
954,27043,ariestya
955,19828,ariffin
956,18165,arifin
957,25482,ario
958,27698,ariotedjo
959,611,arisan
960,612,aristokrat
961,613,aristotipe
962,25515,ariswinarto
963,614,aritmetika
964,615,arjuna
965,27397,arjuno
966,20142,arka
967,21230,arkana
968,616,arkegonium
969,27957,arkeolog
970,19500,arkeologi
971,617,arkeologis
972,618,arkileksem
973,619,arkus
974,19418,armada
975,25345,arman
976,19453,army
977,27306,arnawa
978,21178,arok
979,620,aroma
980,18632,aromanya
981,621,aromaterapis
982,622,aromatik
983,14572,arosbaya
984,20172,arrangement
985,21907,arrival
986,623,arsip
987,624,arsipelago
988,20383,arsitek
989,27654,arsitektur
990,23718,arsitekturnya
991,18918,arsjad
992,626,arsonfobia
993,18369,art
994,627,artesis
995,21401,artha
996,19542,arti
997,22318,artificial
998,629,artifisial
999,17484,artika
1000,630,artikel
1001,631,artikulasi
1002,19473,artinya
1003,632,artis
1004,26743,artisnya
1005,18205,artistik
1006,16363,artotel
1007,23677,artpreneur
1008,633,artrobrankium
1009,17447,artsociates
1010,21733,artwear
1011,634,aru
1012,635,aru-aru
1013,18117,arum
1014,23705,aruman
1015,636,arung-arungan
1016,16001,arunk
1017,637,arus
1018,25063,arusani
1019,638,arwah
1020,16665,aryadi
1021,17551,aryo
1022,22598,as
1023,22344,asa
1024,639,asabat
1025,22325,asadoma
1026,640,asagan
1027,641,asah
1028,19029,asahan
1029,14962,asal
1030,14963,asalkan
1031,27951,asalnya
1032,28162,asam
1033,643,asan
1034,24089,asap
1035,26687,asapa
1036,645,asar
1037,646,asas
1038,647,asbestosis
1039,27369,asdp
1040,22652,asean
1041,648,asertif
1042,18925,aset
1043,650,asetabulum
1044,651,asetat
1045,652,asetimeter
1046,653,asetimetri
1047,21184,asetnya
1048,654,asi
1049,655,asia
1050,27479,asian
1051,16998,asidewi
1052,656,asidimeter
1053,657,asih
1054,21296,asik
1055,658,asimetris
1056,659,asimilatif
1057,660,asin
1058,25088,asing
1059,19460,asingkan
1060,661,asisten
1061,23186,asistensi
1062,662,askariasis
1063,21384,aski
1064,27523,askompsi
1065,663,askorbat
1066,664,askot
1067,24003,asli
1068,25477,aslihat
1069,24754,aslinya
1070,19807,asma
1071,667,asmara
1072,668,asmaragama
1073,669,asmaraloka
1074,17487,asmuri
1075,20008,asn
1076,24432,asopi
1077,25724,asosiasi
1078,19703,asosiasipemerintah
1079,16451,aspal
1080,670,asparagina
1081,671,aspartat
1082,672,aspek
1083,19379,asperapi
1084,18253,aspi
1085,21163,aspirasi
1086,19702,asrama
1087,23053,asri
1088,24655,asriadi
1089,22152,assa
1090,18015,assembly
1091,16781,assesment
1092,17456,asset
1093,26006,association
1094,23455,assumpta
1095,14573,assyuhada
1096,673,astagfirullah
1097,21067,astana
1098,24586,astanajapura
1099,674,astenosfer
1100,675,aster
1101,676,asteraseae
1102,677,astigmatis
1103,678,astrafobia
1104,679,astral
1105,680,astrofobia
1106,681,astrometri
1107,682,astronomis
1108,683,asuh
1109,19447,asuhan
1110,684,asupan
1111,685,asuransi
1112,26885,at
1113,17288,ata
1114,686,atak
1115,17462,atalia
1116,687,atap
1117,14965,atas
1118,26469,atasannya
1119,17557,atasnya
1120,14966,atau
1121,14967,ataukah
1122,24816,ataupun
1123,26360,atbo
1124,28075,ate
1125,689,atelofobia
1126,690,atenian
1127,26126,atensi
1128,691,ater
1129,692,atid
1130,693,atikifobia
1131,25529,atlet
1132,21369,atletik
1133,21835,atm
1134,695,atmoradiograf
1135,696,atmosferis
1136,697,atom
1137,698,atos
1138,27645,atp
1139,17839,atraksi
1140,22591,atraksinya
1141,699,atribusi
1142,700,atribut
1143,701,atrisi
1144,16193,attractions
1145,27659,atur
1146,703,aturan
1147,18376,aturannya
1148,27329,atv
1149,27964,au
1150,18016,aud
1151,24312,audibellave
1152,704,audio
1153,705,audiometer
1154,706,audit
1155,18451,auditor
1156,707,auditorium
1157,708,aufklarung
1158,709,auger
1159,27767,aula
1160,710,aur
1161,24858,aurat
1162,711,aurora
1163,712,auskultasi
1164,22784,australia
1165,21467,austronesia
1166,713,autentik
1167,23513,auto
1168,714,autoaktivitas
1169,715,autobiografis
1170,716,autobiopik
1171,717,autoerotis
1172,718,autohtonus
1173,719,autoignisi
1174,720,autokatalisis
1175,721,autokonvolusi
1176,722,autokritik
1177,723,automisofobia
1178,724,autonisasi
1179,725,autorotasi
1180,726,autotoksin
1181,727,autotransfusi
1182,728,autotrofik
1183,729,autotropik
1184,730,availabilitas
1185,14574,avalokitesvara
1186,23048,avanza
1187,16728,avenue
1188,19251,avia
1189,25308,aviasi
1190,26918,avitus
1191,731,avokad
1192,25319,aw
1193,732,awa
1194,17063,awak
1195,17716,awal
1196,27679,awali
1197,14971,awalnya
1198,735,awam
1199,736,awamineral
1200,737,awan
1201,18504,award
1202,738,awarima
1203,22523,awasi
1204,20747,awdive
1205,18010,awen
1206,19287,awet
1207,740,awetan
1208,20630,awik
1209,741,awu
1210,17608,ay
1211,742,ayah
1212,743,ayak
1213,16666,ayam
1214,745,ayamaru
1215,26228,ayat
1216,746,ayeng-ayengan
1217,27160,ayni
1218,16852,ayo
1219,25494,ayu
1220,747,ayun
1221,18809,ayya
1222,748,azab
1223,24403,azhari
1224,26436,azis
1225,26366,aziz
1226,23621,azwan
1227,27199,b
1228,749,babak
1229,750,babala
1230,751,babarangan
1231,23345,babat
1232,18232,babel
1233,753,babesiasis
1234,754,babi
1235,24825,babimenurut
1236,19788,babinya
1237,755,babu
1238,26756,bac
1239,23184,baca
1240,25410,bacaleg
1241,23693,bacapres
1242,757,bacem
1243,18070,bachtiar
1244,21144,back
1245,16003,backpacker
1246,21796,badag
1247,27661,badai
1248,759,badak
1249,760,badal
1250,24490,badan
1251,762,badar
1252,25230,badarak
1253,22411,badau
1254,763,badi
1255,26505,badik
1256,16904,badrawati
1257,764,badui
1258,21408,badung
1259,14972,badur
1260,765,badut
1261,14973,bagai
1262,14974,bagaikan
1263,18640,bagaimana
1264,14976,bagaimanakah
1265,27024,bagaimanapun
1266,767,bagan
1267,22308,bagas
1268,16004,bagasi
1269,16381,bagbagan
1270,16751,bagendit
1271,769,bagi
1272,770,bagian
1273,24935,bagikan
1274,27529,bagikannya
1275,20448,baginya
1276,771,bagong
1277,22312,bagus
1278,20809,bagusnya
1279,27166,bah
1280,24116,bahagia
1281,774,bahan
1282,775,bahang
1283,776,bahar
1284,777,bahari
1285,778,baharu-baharu
1286,779,bahas
1287,780,bahasa
1288,22655,bahasan
1289,16752,bahaya
1290,782,baheula
1291,14981,bahkan
1292,20839,bahlil
1293,783,baht
1294,784,bahtera
1295,785,bahu
1296,14982,bahwa
1297,786,bahwasanya
1298,787,baid
1299,788,baiduri
1300,789,baik
1301,25459,baiknya
1302,790,baikutu
1303,791,bailey
1304,792,bain
1305,793,baiti
1306,794,baitulmukadas
1307,795,baitulmukadis
1308,26761,baja
1309,797,bajak
1310,798,bajakan
1311,799,bajang
1312,800,bajang-bajang
1313,801,bajing
1314,24796,bajo
1315,28222,baju
1316,803,bajul
1317,21360,bajunya
1318,804,bak
1319,805,baka
1320,806,bakal
1321,14986,bakalan
1322,14579,bakar
1323,808,bakas
1324,17064,bakastra
1325,20957,bakat
1326,22595,bakau
1327,811,bakaya
1328,812,bakda
1329,813,bakdiah
1330,814,bake
1331,815,baki
1332,20898,bakiak
1333,816,bakit
1334,817,bako
1335,21512,bakomstra
1336,26964,bakrie
1337,818,bakteremia
1338,819,bakteriofobia
1339,820,bakteriolisis
1340,821,bakteriolitik
1341,27107,bakti
1342,26788,baku
1343,825,bakul
1344,826,bakung
1345,23190,bakunya
1346,20651,bala
1347,828,balabua
1348,829,balagendir
1349,830,balai
1350,832,balang
1351,22359,balap
1352,833,balas
1353,834,balase
1354,835,balata
1355,836,balatuk
1356,837,balek
1357,838,balelang
1358,839,baleman
1359,840,balerino
1360,841,baleta
1361,25144,bali
1362,27237,balian
1363,843,balig
1364,27288,baliho
1365,844,balik
1366,845,balikan
1367,846,balikpapan
1368,847,balin
1369,848,baling-baling
1370,849,balita
1371,24901,balkon
1372,25862,balkondes
1373,26351,ballroom
1374,850,balneologi
1375,851,balneowisata
1376,18399,baloho
1377,852,balok
1378,853,balon
1379,854,balong
1380,855,balonisasi
1381,856,balsam
1382,24187,balutan
1383,26607,bambang
1384,857,bambu
1385,21895,ban
1386,859,banar
1387,860,bancah
1388,14580,bancaran
1389,24696,band
1390,861,banda
1391,16496,bandar
1392,16006,bandara
1393,22407,bandel
1394,18815,bandeng
1395,864,banding
1396,865,banditisme
1397,866,bando
1398,17452,bandung
1399,867,bandut
1400,20433,bang
1401,869,bangar
1402,870,bangau
1403,871,bangbangan
1404,872,bangbarung
1405,873,banget
1406,20704,bangga
1407,874,banggakoro
1408,22039,bangka
1409,876,bangkai
1410,20345,bangkalan
1411,877,bangkanang
1412,878,bangkar
1413,879,bangke
1414,16689,bangkit
1415,22810,bangkitkan
1416,22491,bangkok
1417,19042,bangli
1418,881,bangsa
1419,25547,bangsakegiatan
1420,19272,bangsal
1421,24384,bangsalsari
1422,16427,bangsamengamalkan
1423,27334,bangsapada
1424,20667,bangun
1425,883,bangun-bangun
1426,27328,bangunan
1427,17774,bangunannya
1428,885,banjar
1429,27913,banjaran
1430,24085,banjarbaru
1431,19094,banjarmasin
1432,27432,banjarnegara
1433,26702,banjaroya
1434,20171,banjir
1435,887,bank
1436,21359,banking
1437,24777,banknya
1438,20827,banner
1439,17034,banper
1440,888,bansekower
1441,889,bantah-bantah
1442,26178,bantahan
1443,28057,bantahjokowi
1444,890,bantal
1445,891,bantal-bantal
1446,20396,bantalan
1447,20662,bantani
1448,23817,banten
1449,17601,bantengan
1450,892,bantet
1451,893,banting
1452,894,bantongan
1453,895,bantu
1454,20606,bantuan
1455,27834,bantuannya
1456,897,bantuha
1457,898,banu
1458,899,banya
1459,900,banyabak
1460,901,banyak
1461,902,banyak-banyak
1462,24161,banyaknya
1463,903,banyala
1464,17688,banyubiru
1465,21980,banyumas
1466,904,banyup
1467,905,banyuwangi
1468,906,bapaduo
1469,24619,bapak
1470,908,bapanduk
1471,909,bapang
1472,27170,bapenda
1473,910,bapepam
